Target distanse: 50, Step Size: 2.54
1: (x,y) = (2.106, 1.420)
2: (x,y) = (2.763, 3.874)
3: (x,y) = (0.288, 4.445)
4: (x,y) = (1.852, 2.444)
5: (x,y) = (3.740, 0.744)
6: (x,y) = (2.141, 2.718)
7: (x,y) = (3.562, 4.824)
8: (x,y) = (5.933, 3.913)
9: (x,y) = (5.977, 1.374)
10: (x,y) = (8.315, 2.366)
11: (x,y) = (6.583, 0.509)
12: (x,y) = (8.846, 1.662)
13: (x,y) = (11.217, 2.572)
14: (x,y) = (12.563, 4.726)
15: (x,y) = (12.961, 7.235)
16: (x,y) = (12.828, 4.698)
17: (x,y) = (15.049, 5.930)
18: (x,y) = (15.094, 3.390)
19: (x,y) = (14.784, 5.911)
20: (x,y) = (16.642, 4.179)
21: (x,y) = (18.274, 2.233)
22: (x,y) = (18.097, -0.301)
23: (x,y) = (15.604, 0.184)
24: (x,y) = (13.064, 0.228)
25: (x,y) = (10.959, -1.192)
26: (x,y) = (8.737, 0.039)
27: (x,y) = (7.280, -2.041)
28: (x,y) = (8.700, 0.065)
29: (x,y) = (6.285, -0.720)
30: (x,y) = (6.019, -3.246)
31: (x,y) = (3.820, -4.516)
32: (x,y) = (6.191, -5.427)
33: (x,y) = (3.737, -6.084)
34: (x,y) = (1.263, -6.655)
35: (x,y) = (2.755, -4.601)
36: (x,y) = (4.701, -6.233)
37: (x,y) = (6.085, -8.363)
38: (x,y) = (6.173, -10.902)
39: (x,y) = (4.043, -9.519)
40: (x,y) = (4.786, -11.948)
41: (x,y) = (4.171, -14.412)
42: (x,y) = (6.686, -14.059)
43: (x,y) = (5.416, -11.859)
44: (x,y) = (7.149, -13.717)
45: (x,y) = (9.348, -12.447)
46: (x,y) = (11.864, -12.093)
47: (x,y) = (11.206, -14.547)
48: (x,y) = (8.722, -15.075)
49: (x,y) = (10.518, -16.871)
50: (x,y) = (8.691, -18.635)
51: (x,y) = (6.304, -17.766)
52: (x,y) = (8.504, -16.496)
53: (x,y) = (6.616, -18.196)
54: (x,y) = (9.003, -17.327)
55: (x,y) = (8.562, -14.826)
56: (x,y) = (7.990, -17.301)
57: (x,y) = (7.376, -14.836)
58: (x,y) = (8.327, -17.191)
59: (x,y) = (6.799, -15.163)
60: (x,y) = (6.314, -12.669)
61: (x,y) = (4.857, -14.750)
62: (x,y) = (7.273, -13.965)
63: (x,y) = (5.327, -15.598)
64: (x,y) = (4.585, -13.169)
65: (x,y) = (4.319, -15.695)
66: (x,y) = (4.319, -18.235)
67: (x,y) = (3.011, -20.412)
68: (x,y) = (5.141, -19.029)
69: (x,y) = (2.657, -19.557)
70: (x,y) = (0.628, -18.028)
71: (x,y) = (0.319, -20.549)
72: (x,y) = (2.783, -21.164)
73: (x,y) = (5.258, -20.592)
74: (x,y) = (7.674, -19.807)
75: (x,y) = (5.153, -20.117)
76: (x,y) = (5.637, -17.624)
77: (x,y) = (5.284, -15.108)
78: (x,y) = (5.372, -17.647)
79: (x,y) = (3.515, -19.379)
80: (x,y) = (6.051, -19.512)
81: (x,y) = (5.100, -21.867)
82: (x,y) = (2.646, -22.524)
83: (x,y) = (0.618, -20.996)
84: (x,y) = (-1.645, -19.843)
85: (x,y) = (-4.184, -19.754)
86: (x,y) = (-3.441, -17.325)
87: (x,y) = (-3.574, -19.862)
88: (x,y) = (-5.680, -18.441)
89: (x,y) = (-4.081, -16.467)
90: (x,y) = (-5.465, -18.597)
91: (x,y) = (-6.922, -20.678)
92: (x,y) = (-9.386, -20.064)
93: (x,y) = (-8.003, -22.194)
94: (x,y) = (-8.703, -19.752)
95: (x,y) = (-8.836, -17.216)
96: (x,y) = (-9.493, -19.669)
97: (x,y) = (-9.009, -17.176)
98: (x,y) = (-6.580, -16.433)
99: (x,y) = (-4.784, -14.637)
100: (x,y) = (-4.041, -17.066)
101: (x,y) = (-4.951, -19.438)
102: (x,y) = (-4.294, -21.891)
103: (x,y) = (-5.993, -20.003)
104: (x,y) = (-8.458, -20.618)
105: (x,y) = (-6.512, -18.985)
106: (x,y) = (-8.179, -20.902)
107: (x,y) = (-10.333, -19.556)
108: (x,y) = (-10.067, -17.030)
109: (x,y) = (-8.335, -15.172)
110: (x,y) = (-10.861, -15.438)
111: (x,y) = (-9.228, -13.492)
112: (x,y) = (-10.302, -11.190)
113: (x,y) = (-12.622, -12.223)
114: (x,y) = (-10.113, -11.826)
115: (x,y) = (-9.203, -9.455)
116: (x,y) = (-11.724, -9.145)
117: (x,y) = (-14.062, -10.138)
118: (x,y) = (-12.831, -12.359)
119: (x,y) = (-13.140, -14.880)
120: (x,y) = (-13.925, -17.296)
121: (x,y) = (-15.783, -19.028)
122: (x,y) = (-17.449, -17.111)
123: (x,y) = (-16.749, -14.670)
124: (x,y) = (-19.280, -14.891)
125: (x,y) = (-21.764, -14.363)
126: (x,y) = (-21.675, -11.824)
127: (x,y) = (-19.848, -13.589)
128: (x,y) = (-18.428, -15.695)
129: (x,y) = (-20.628, -16.965)
130: (x,y) = (-22.048, -14.859)
131: (x,y) = (-24.549, -15.300)
132: (x,y) = (-23.978, -17.775)
133: (x,y) = (-25.710, -19.632)
134: (x,y) = (-26.824, -21.915)
135: (x,y) = (-25.367, -23.996)
136: (x,y) = (-27.163, -25.792)
137: (x,y) = (-29.638, -25.221)
138: (x,y) = (-27.123, -24.867)
139: (x,y) = (-24.840, -23.754)
140: (x,y) = (-27.226, -22.885)
141: (x,y) = (-26.829, -25.394)
142: (x,y) = (-27.226, -27.902)
143: (x,y) = (-26.113, -30.185)
144: (x,y) = (-26.024, -32.724)
145: (x,y) = (-27.332, -34.901)
146: (x,y) = (-29.220, -33.201)
147: (x,y) = (-29.705, -35.695)
148: (x,y) = (-30.405, -33.253)
149: (x,y) = (-32.776, -32.343)
150: (x,y) = (-32.335, -34.844)
151: (x,y) = (-34.865, -34.623)
152: (x,y) = (-36.097, -36.844)
After 152 steps, the subject has the following location:
(x,y) = (-36.097, -36.844)
 or
(m,a) = (51.580, -134.413)
Average outward distance per step = 0.339
